timestamp,vehicle_speed,lf_wheel_s,rf_wheel_s,lr_wheel_s,rr_wheel_s,vehicle_rpm,gear,accel_pedal,engine_temp
"2019-11-08 00:27:14.991",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.006",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.014",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.029",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.033",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.035",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.040",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.058",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.063",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.068",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.070",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.079",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.090",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.099",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.109",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.119",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.129",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.139",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.149",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.160",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.172",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.180",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.190",0,0,0,0,0,813,0,0,100
"2019-11-08 00:27:15.199",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.210",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.221",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.229",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.242",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.249",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.260",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.272",0,0,0,0,0,814,0,0,100
"2019-11-08 00:27:15.280",0,0,0,0,0,814,0,0,100
